what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1452962541358
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1452962541358
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1452962541378
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1452962541384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962545630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962564907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962565730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962580961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962585793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962616172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1452962624614
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1452962624635
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1452962624647
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147-p001,"org.eclipse.wst.xml.core",1452962624664
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1452962624680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962631084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452962635662
started,bundle,org.eclipse.sapphire.workspace,0.5.3.201209191432,"org.eclipse.sapphire.workspace",1452962638409
started,bundle,org.eclipse.sapphire.modeling.xml,0.5.3.201209191432,"org.eclipse.sapphire.modeling.xml",1452962638410
